"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","037","1103","17141","6","34.06659","-118.22688","WGS84","Naphthalene (TSP) STP","24 HOUR","","2023-05-24","2023","144","Nanograms/cubic meter (25 C)","None","","1","100.0000","","31.6","","31.6","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88502","12","34.06659","-118.22688","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","7.4","","7.4","0","31","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88385","5","34.06659","-118.22688","WGS84","EC3 CSN_Rev Unadjusted PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.00563","","0.00563","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","17148","6","34.06659","-118.22688","WGS84","Acenaphthylene (TSP) STP","24 HOUR","","2023-05-24","2023","144","Nanograms/cubic meter (25 C)","None","","1","100.0000","","0","","0","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88355","5","34.06659","-118.22688","WGS84","OC CSN_Rev Unadjusted PM2.5 LC TOT","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","1.282","","1.282","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88329","5","34.06659","-118.22688","WGS84","EC1 PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.416","","0.416","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88330","5","34.06659","-118.22688","WGS84","EC2 PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.093","","0.093","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88502","11","34.06659","-118.22688","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","8","","8","0","33","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88348","5","34.06659","-118.22688","WGS84","Soil PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.34997","","0.34997","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88401","5","34.06659","-118.22688","WGS84","Reconstructed Mass PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","7.2474","","7.2474","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
